,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
25,1B,2B,Stolen Base 2B,543068,C.J. Cron,521230,Liam Hendriks,455117,Martín Maldonado,R,Bruce Maxwell,622194,2,6,6,False,2017-08-04,Stolen,2B,2017,2018, 80.5, 0.73
26,1B,,Caught Stealing 2B,605412,Joe Panik,621112,Paul Blackburn,474832,Brandon Belt,R,Bruce Maxwell,622194,2,3,5,True,2017-07-31,Caught,2B,2017,2018, 80.5, 0.73
27,1B,,Caught Stealing 2B,519306,Steven Souza Jr.,543243,Sonny Gray,572816,Corey Dickerson,R,Bruce Maxwell,622194,0,0,1,True,2017-07-19,Caught,2B,2017,2018, 80.5, 0.73
28,1B,,Caught Stealing 2B,571980,Tyler Naquin,621112,Paul Blackburn,570481,Erik González,R,Bruce Maxwell,622194,0,0,3,True,2017-07-15,Caught,2B,2017,2018, 80.5, 0.73
29,1B,2B,Stolen Base 2B,605548,Bradley Zimmer,621112,Paul Blackburn,596019,Francisco Lindor,R,Bruce Maxwell,622194,1,2,5,True,2017-07-15,Stolen,2B,2017,2018, 80.5, 0.73
30,1B,2B,Stolen Base 2B,488726,Michael Brantley,543243,Sonny Gray,429665,Edwin Encarnación,R,Bruce Maxwell,622194,4,0,6,True,2017-07-14,Stolen,2B,2017,2018, 80.5, 0.73
31,2B,,Caught Stealing 3B,502481,Jarrod Dyson,543056,Danny Coulombe,592325,Ben Gamel,L,Bruce Maxwell,622194,3,0,5,False,2017-07-09,Caught,3B,2017,2018, 80.5, 0.73
32,1B,2B,Caught Stealing 3B,434563,Carlos Ruiz,543056,Danny Coulombe,592325,Ben Gamel,L,Bruce Maxwell,622194,3,0,5,False,2017-07-09,Caught,3B,2017,2018, 80.5, 0.73
33,1B,2B,Stolen Base 2B,542454,Danny Santana,640455,Sean Manaea,622666,Johan Camargo,L,Bruce Maxwell,622194,0,1,2,True,2017-07-02,Stolen,2B,2017,2018, 80.5, 0.73
34,1B,2B,Stolen Base 2B,542255,Ender Inciarte,448281,Sean Doolittle,408252,Brandon Phillips,L,Bruce Maxwell,622194,0,2,9,True,2017-06-30,Stolen,2B,2017,2018, 80.5, 0.73
35,2B,3B,Stolen Base 3B,502210,Josh Reddick,595001,Josh A. Smith,621043,Carlos Correa,R,Bruce Maxwell,622194,9,5,3,False,2017-06-28,Stolen,3B,2017,2018, 80.5, 0.73
36,1B,2B,Stolen Base 2B,514888,Jose Altuve,595001,Josh A. Smith,621043,Carlos Correa,R,Bruce Maxwell,622194,9,5,3,False,2017-06-28,Stolen,2B,2017,2018, 80.5, 0.73
37,2B,3B,Stolen Base 3B,502210,Josh Reddick,446099,John Axford,435263,Brian McCann,R,Bruce Maxwell,622194,10,7,6,False,2017-06-28,Stolen,3B,2017,2018, 80.5, 0.73
